text,label,events
"He relied on Article 8 (art. 8) of the Convention, which provides: ""1. Everyone has the right to respect for his ... family life ... 2. There shall be no interference by a public authority with the exercise of this right except such as is in accordance with the law and is necessary in a democratic society in the interests of national security, public safety or the economic well-being of the country, for the prevention of disorder or crime, for the protection of health or morals, or for the protection of the rights and freedoms of others.""",premise,"['he rely art', 'which provide 1', 'everyone have right', ' to respect life']"
"It cannot therefore be claimed that the bond of ""family life"" between them has been broken.",premise,"['it can be not claim ', 'bond have be break ']"
"In any event, Switzerland was in no way responsible for the situation the Gül family was in.",premise,[]
"Having regard to all these considerations, and while acknowledging that the Gül family’s situation is very difficult from the human point of view, the Court finds that Switzerland has not failed to fulfil the obligations arising under Article 8 para. 1 (art. 8-1), and there has therefore been no interference in the applicant’s family life within the meaning of that Article (art. 8-1).",premise,"[' have regard', 'court find ', 'switzerland have fail ', ' to fulfil obligation', ' arise para']"
"FOR THESE REASONS, THE COURT Holds by seven votes to two that there has been no breach of Article 8 (art. 8) of the Convention.",conclusion,['court hold vote']
"Admittedly, Mr Gül left Turkey in 1983, when his son Ersin was only three months old (see paragraph 7 above);",premise,"['gl leave turkey', 'gl leave 1983', ' see paragraph']"
Mrs Gül left Ersin in 1987 because of her accident (see paragraph 8 above).,premise,"['gl leave ersin', 'gl leave 1987', 'gl leave accident', ' see paragraph']"
"However, after obtaining a residence permit on humanitarian grounds in Switzerland in 1990, the applicant asked the Swiss authorities for permission to bring the boy, who was then six years old, to Switzerland (see paragraphs 11 and 13 above).",premise,"[' obtain permit', ' obtain ground', ' obtain switzerland', ' obtain 1990', 'applicant ask authority', 'applicant ask permission', ' to bring boy', ' to bring switzerland', ' see paragraph']"
"Subsequently, he repeatedly asked the Swiss courts to allow his son to join him, before bringing his case before the Convention institutions.",premise,"['he ask company', 'son to join he', ' bring case', ' bring institution']"
"Despite the distance, in geographical terms, between them, the applicant has made a number of visits to Turkey, the last of these being in July and August 1995 (see paragraph 19 above).",premise,"['applicant have make number', ' see paragraph']"
"It cannot therefore be claimed that the bond of ""family life"" between them has been broken.",conclusion,"['it can be not claim ', 'bond have be break ']"
"Mr Gül had left Turkey when his younger son Ersin was three months old, and had never attempted to develop a family life in his country of origin.",premise,"['gl have leave turkey', 'gl have never attempt ', ' to develop life', ' to develop company']"
"In addition, the focus of that son’s family life was in Turkey since, even after his mother’s departure, the child had been taken in as a member of his elder brother’s family.",premise,['child have be take member']
"Furthermore, the fact that Mr and Mrs Gül’s daughter Nursal had been placed in a home in Switzerland showed that they were in any event incapable of assuming their parental responsibilities with regard to the boy.",premise,"['nursal have be place home', 'fact show ', ' assume responsibility']"
"The Government’s primary submission was that Article 8 (art. 8) was not applicable, since in the instant case the element of intention inherent in the concept of family life was missing.",conclusion,['element be miss ']
"(see, most recently, the Keegan v. Ireland judgment of 26 May 1994, Series A no. 290, p. 19, para. 49, and the Kroon and Others v. the Netherlands judgment of 27 October 1994, Series A no. 297-C, p. 56, para. 31).",premise,[' see judgment']
In both contexts regard must be had to the fair balance that has to be struck between the competing interests of the individual and of the community as a whole; and in both contexts the State enjoys a certain margin of appreciation,conclusion,"['regard must be have ', 'that have ', 'state enjoy margin']"
In both contexts regard must be had to the fair balance that has to be struck between the competing interests of the individual and of the community as a whole; and in both contexts the State enjoys a certain margin of appreciation,premise,"['regard must be have ', 'that have ', 'state enjoy margin']"
The Court reiterates that the essential object of Article 8 (art. 8) is to protect the individual against arbitrary action by the public authorities.,premise,"['court reiterate ', ' to protect individual', ' to protect action']"
"There may in addition be positive obligations inherent in effective ""respect"" for family life.",premise,[]
"However, the boundaries between the State’s positive and negative obligations under this provision (art. 8) do not lend themselves to precise definition.",premise,"['boundary art ', 'number do lend themselves', 'number do lend definition']"
"The applicable principles are, nonetheless, similar.",premise,[]
"Having regard to all these considerations, and while acknowledging that the Gül family’s situation is very difficult from the human point of view, the Court finds that Switzerland has not failed to fulfil the obligations arising under Article 8 para. 1 (art. 8-1), and there has therefore been no interference in the applicant’s family life within the meaning of that Article (art. 8-1).",conclusion,"[' have regard', 'court find ', 'switzerland have fail ', ' to fulfil obligation', ' arise para']"
"other authorities, the Abdulaziz, Cabales and Balkandali v. the United Kingdom judgment of 28 May 1985, Series A no. 94, pp. 33-34, para. 67).",premise,[]
"As a matter of well-established international law and subject to its treaty obligations, a State has the right to control",conclusion,['state have right']
"(see, mutatis mutandis, the Abdulaziz, Cabales and Balkandali judgment previously cited, p. 34, para. 68, and the Cruz Varas and Others v. Sweden judgment of 20 March 1991, Series A no. 201, p. 32, para. 88).",premise,[' see para']
"In order to establish the scope of the State’s obligations, the facts of the case must be considered",conclusion,"[' to establish scope', 'fact must be sidere ']"
"The applicant left Turkey in 1983 and made his way to Switzerland, where he applied for political asylum; this application was rejected by the Minister for Refugees in 1989 (see paragraph 10 above).",premise,"['applicant leave turkey', 'applicant leave 1983', 'applicant make way', 'applicant make switzerland', 'he apply asylum', 'application be reject minister', 'application be reject 1989', ' see paragraph']"
His wife joined him in 1987 so that she could receive medical treatment in Switzerland after a serious accident.,premise,"['wife join he', 'wife join 1987', 'ld receive treatment', 'ld receive switzerland', 'ld receive accident']"
Their daughter Nursal was placed from birth in a home in Switzerland and has remained there ever since (see paragraph 9 above).,premise,"['daughter be place birth', 'daughter be place home', 'daughter have remain ', ' see paragraph']"
In 1990 Mr and Mrs Gül were granted a residence permit on humanitarian grounds and then sought permission to bring their son Ersin to Switzerland.,premise,"['gl be grant permit', 'gl be grant ground', 'gl seek permission', ' to bring son', ' to bring switzerland']"
Ersin has always lived in Turkey (see paragraph 19 above).,premise,"['ersin have live turkey', ' see paragraph']"
"By leaving Turkey in 1983, Mr Gül caused the separation from his son, and he was unable to prove to the Swiss authorities - who refused to grant him political refugee status - that he personally had been a victim of persecution in his home country.",premise,"[' leave turkey', ' leave 1983', 'gl cause separation', ' to prove authority', 'who refuse ', ' to grant status']"
"In any event, whatever the applicant’s initial reasons for applying for political asylum, the visits he has made to his son in recent years tend to show that they are no longer valid.",premise,"[' apply asylum', 'he have make son', 'he have make year', 'visit tend ']"
"His counsel, moreover, expressly confirmed this at the hearing.",premise,"['nsel firm this', 'nsel firm hearing']"
"In addition, according to the Government, by virtue of a social security convention concluded on 1 May 1969 between Switzerland and Turkey, the applicant could continue to receive his ordinary invalidity pension and half of the supplementary benefit he receives at present in respect of his wife, his son Ersin and his daughter Nursal if he returned to his home country (see paragraph 23 above).",premise,"[' accord government', ' clude may', ' clude switzerland', ' to receive pension', 'he receive respect', 'he return company', ' see paragraph']"
"Mrs Gül’s return to Turkey is more problematic, since it was essentially her state of health that led the Swiss authorities to issue a residence permit on humanitarian grounds.",premise,"['that lead authority', ' to issue permit', ' to issue ground']"
"However, although her state of health seemed particularly alarming in 1987, when her accident occurred, it has not been proved that she could not later have received appropriate medical treatment in specialist hospitals in Turkey.",premise,"['state seem alarming', 'state seem 1987', 'accident occur ', 'it have be prove ', 'number have receive treatment', 'number have receive hospital']"
"She was, moreover, able to visit Turkey with her husband in July and August 1995 (see paragraph 19 above).",premise,"[' to visit turkey', ' to visit husband', ' to visit july', ' see paragraph']"
"Furthermore, although Mr and Mrs Gül are lawfully resident in Switzerland, they do not have a permanent right of abode, as they do not have a settlement permit but merely a residence permit on humanitarian grounds, which could be withdrawn, and which under Swiss law does not give them a right to family reunion (see paragraph 18 above).",premise,"['they do have right', 'they do have permit', 'company be withdraw ', 'which do give right', ' see paragraph']"
"In view of the length of time Mr and Mrs Gül have lived in Switzerland, it would admittedly not be easy for them to return to Turkey, but there are, strictly speaking, no obstacles preventing them from developing family life in Turkey.",conclusion,"['gl have live switzerland', 'they to return turkey', 'there be obstacle', ' prevent they', ' develop life']"
"In view of the length of time Mr and Mrs Gül have lived in Switzerland, it would admittedly not be easy for them to return to Turkey, but there are, strictly speaking, no obstacles preventing them from developing family life in Turkey.",premise,"['gl have live switzerland', 'they to return turkey', 'there be obstacle', ' prevent they', ' develop life']"
That possibility is all the more real because Ersin has always lived there and has therefore grown up in the cultural and linguistic environment of his country.,premise,"['ersin have live ', 'ersin have grow environment']"
"On that point the situation is not the same as in the Berrehab case, where the daughter of a Moroccan applicant had been born in the Netherlands and spent all her life there (see the Berrehab judgment previously cited, p. 8, para. 7).",conclusion,"['daughter have be bear netherlands', 'daughter spend life', ' see judgment']"
"Having regard to all these considerations,",premise,[' have regard']
"while acknowledging that the Gül family’s situation is very difficult from the human point of view,",premise,[]
"the Court finds that Switzerland has not failed to fulfil the obligations arising under Article 8 para. 1 (art. 8-1), and there has therefore been no interference in the applicant’s family life within the meaning of that Article (art. 8-1).",conclusion,"['court find ', 'switzerland have fail ', ' to fulfil obligation', ' arise para']"
"True, as the Court recognised in the Berrehab judgment, subsequent events may break such a family life relationship, but only exceptional circumstances can warrant the conclusion that the tie between a parent and his or her child is severed.",premise,"['court recognise judgment', 'event may break relationship', 'circumstance can warrant clusion', 'tie be sever ']"
"The mere fact that, at the relevant date, the applicant had not seen his then seven-year-old son for almost seven years is not sufficient to produce this negative effect.",premise,"['applicant have see son', 'applicant have see year', ' to produce effect']"
"Accordingly, if on 19 September 1990 there existed ""family life"" between the applicant and his son Ersin, the applicability of Article 8 (art. 8) to the facts of the present case cannot be called into question.",conclusion,"['there exist life', '8) can be not call question']"
"""According to the Court’s well established case-law, ‘the mutual enjoyment by parent and child of each other’s company constitutes a fundamental element of family life’"", as the Court pointed out in paragraph 86 of the McMichael v. the United Kingdom judgment of 24 February 1995, Series A no. 307-B, p. 55. Consequently, decisions of State authorities hindering such enjoyment in principle amount to an infringement of the State’s obligation to respect the family life of those concerned.",premise,"[' accord law', 'enjoyment stitute element', 'court point paragraph', ' hinder enjoyment', ' hinder principle', 'decision amount infringement', ' to respect life']"
It follows that the refusal of the Swiss authorities to grant the applicant’s son Ersin authorisation to reside in Switzerland in principle entails their responsibility under Article 8 (art. 8).,conclusion,"['it follow ', ' to grant authorisation', ' to reside switzerland', ' to reside principle', 'refusal entail responsibility']"
"Rightly so, for, generally speaking, it may be assumed that after a period of between three and five years immigrants become rooted in the country of settlement.",premise,"['it may be assume ', 'immigrant become ', ' root ntry']"
By then they have formed new social ties there and have definitively begun to adapt themselves to their new homeland.,premise,"['they have form tie', 'they have begin ', ' to adapt themselves', ' to adapt homeland']"
"In assessing the humaneness of the choice with which the Swiss authorities confronted the applicant and his wife this element, the fact that they have become integrated in their new homeland - an element which, incidentally, is closely connected with their private life - is of far more importance than the formal status of their permit.",premise,"[' assess humaneness', ' assess element', 'company front applicant', ' become integrate homeland', ' be necte life']"
"The first is that for the applicant and his wife the choice in question was not only between renouncing their son or renouncing the position which they had acquired in Switzerland, but also between renouncing their son Ersin or their little daughter Nursal who was being educated in a home in Switzerland and whose interests almost certainly would have required that she should be left behind.",premise,"[' renounce son', ' renounce position', 'they have acquire switzerland', ' renounce son', 'who be be educate home', 'interest would have require ', 'she should be leave ']"
"The second is that the applicant’s wife is dependent on medical care which she can certainly get in Switzerland, whilst it is in debate to what extent, if at all, she will be able to get it in Turkey.",premise,"['she can get switzerland', ' to get it', ' to get turkey']"
The third is that the mere fact that the Turkish authorities did not immediately arrest the applicant when he entered the country as a visitor does not imply that he would not get into trouble if he tried to settle there again on a permanent basis.,premise,"['authority do arrest applicant', 'he enter ntry', 'he enter visitor', 'fact do imply ', 'he would get trouble', 'he try ', ' to settle basis']"
"The fourth is that the applicant and his wife deserve compassion: whilst his wife had been suffering from epilepsy since 1982 and had a terrible accident in 1987, the applicant himself became disabled in 1990.",premise,"['applicant deserve passion', 'wife have be suffer epilepsy', 'wife have be suffer 1982', 'wife have accident', 'wife have 1987', 'applicant become 1990']"
Under these circumstances it could not reasonably be required of the applicant and his wife that in order to be reunited with Ersin they should leave Switzerland and return to Turkey.,conclusion,"['it be require applicant', 'number be require applicant', ' to be reunite ersin', 'they should leave switzerland', 'they return turkey']"
Under these circumstances it could not reasonably be required of the applicant and his wife that in order to be reunited with Ersin they should leave Switzerland and return to Turkey.,premise,"['it be require applicant', 'number be require applicant', ' to be reunite ersin', 'they should leave switzerland', 'they return turkey']"
"It follows that a proper balance was not achieved between the interests involved, that the refusal of the Swiss authorities is disproportionate and, as such, not necessary in a democratic society. I thus conclude that there was a violation of Article 8 (art. 8).",conclusion,"['it follow ', 'i clude ', 'there be violation']"
On 19 September 1990 there certainly was a family life relationship between the applicant and Ersin.,premise,[]
"Since Ersin was born from the legitimate marriage between the applicant and his wife,",premise,['ersin be bear marriage']
"it follows from the aforementioned Berrehab judgment (p. 14, para. 21) that there is ipso facto such a relationship (see also the Hokkanen v. Finland judgment of 23 September 1994, Series A no. 299-A, p. 19, para. 54).",premise,"['it follow judgment', 'there be relationship', ' see judgment']"
"Accordingly, if on 19 September 1990 there existed ""family life"" between the applicant and his son Ersin, the applicability of Article 8 (art. 8) to the facts of the present case cannot be called into question.",conclusion,"['there exist life', '8) can be not call question']"
"The present case concerns not only family life but also immigration, and the extent of a State’s obligation to admit to its territory relatives of settled immigrants will vary according to the particular circumstances of the persons involved and the general interest.",premise,"['cern number life', ' to admit relative', ' to admit territory', 'extent will vary ', ' accord circumstance']"
"As a matter of well-established international law and subject to its treaty obligations, a State has the right to control the entry of non-nationals into its territory (see, among other authorities, the Abdulaziz, Cabales and Balkandali v. the United Kingdom judgment of 28 May 1985, Series A no. 94, pp. 33-34, para. 67).",premise,"['state have right', ' to trol entry', ' see judgment', ' see authority']"
"Moreover, where immigration is concerned, Article 8 (art. 8) cannot be considered to impose on a State a general obligation to respect the choice by married couples of the country of their matrimonial residence and to authorise family reunion in its territory.",premise,"['immigration be cerne ', ' to impose obligation', ' to impose state', ' to respect choice', ' to authorise reunion']"
"In order to establish the scope of the State’s obligations, the facts of the case must be considered (see, mutatis mutandis, the Abdulaziz, Cabales and Balkandali judgment previously cited, p. 34, para. 68, and the Cruz Varas and Others v. Sweden judgment of 20 March 1991, Series A no. 201, p. 32, para. 88).",premise,[' to establish scope']
"In this case, therefore, the Court’s task is to determine to what extent it is true that Ersin’s move to Switzerland would be the only way for Mr Gül to develop family life with his son.",conclusion,['gl to develop life']
since it was essentially her state of health that led the Swiss authorities to issue a residence permit on humanitarian grounds.,premise,"['that lead authority', ' to issue permit', ' to issue ground']"
Mrs Gül’s return to Turkey is more problematic,conclusion,[]
"The Court now holds that the applicable principles are similar, adding that in both contexts regard must be had to the fair balance that has to be struck between the competing interests of the individual and the community",premise,"['number hold ', 'regard must be have ', 'that have ']"
"For present purposes it may, therefore, be assumed that it makes no material difference whether a positive or a negative obligation is at stake.",premise,"['it may be assume ', 'it make difference']"
The present doctrine notably implies that the distinction between the two types of obligation has no bearing on either the burden of proof or the standards for assessing whether a fair balance has been struck.,premise,"['number imply ', 'distinction have number', 'distinction have burden', 'balance have be strike ']"
"It follows that the refusal of the Swiss authorities to grant the applicant’s son Ersin authorisation to reside in Switzerland amounts to a violation of Article 8 (art. 8), unless it is deemed justified under paragraph 2 of that Article (art. 8-2) or under similar principles to those enshrined therein.",conclusion,"['it follow ', ' to grant authorisation', ' to reside switzerland', 'refusal amount violation', 'it be deem justify', 'it be deem paragraph']"
"(see, inter alia: the above-mentioned Keegan judgment, loc. cit. (paragraph 7 above); the above-mentioned Hokkanen judgment, p. 20, para. 55; and the Stjerna v. Finland judgment of 25 November 1994, Series A no. 299-B, p. 61, para. 39).",premise,[]
"The Court now holds that the applicable principles are similar, adding that in both contexts regard must be had to the fair balance that has to be struck between the competing interests of the individual and the community",conclusion,"['number hold ', 'regard must be have ', 'that have ']"
"The European Court of Human Rights, sitting, in accordance with Article 43 (art. 43) of the Convention for the Protection of Human Rights and Fundamental Freedoms (""the Convention"") and the relevant provisions of Rules of Court A , as a Chamber composed of the following judges:",non-argumentative,"['court sit accordance', 'company pose judge']"
"Having deliberated in private on 27 October 1995 and 22 January 1996, Delivers the following judgment, which was adopted on the last-mentioned date:",non-argumentative,"[' having deliberate private', ' having deliberate october', ' deliver judgment', 'which be adopt date']"
"The case was referred to the Court by the European Commission of Human Rights (""the Commission"") on 29 May 1995, and by the Government of the Swiss Confederation (""the Government"") on 26 June 1995, within the three-month period laid down by Article 32 para. 1 and Article 47 (art. 32-1, art. 47) of the Convention.",non-argumentative,"['case be refer court', 'case be refer commission', 'case be refer period', ' lay para']"
"It originated in an application (no. 23218/94) against Switzerland lodged with the Commission under Article 25 (art. 25) by a Turkish national, Mr Riza Gül, on 31 December 1993.",non-argumentative,"['it originate number', ' lodge commission', ' lodge art']"
"The Commission’s request referred to Articles 44 and 48 (art. 44, art. 48) and to the declaration whereby Switzerland recognised the compulsory jurisdiction of the Court (Article 46) (art. 46); the Government’s application referred to Articles 45, 47 and 48 (art. 45, art. 47, art. 48).",non-argumentative,"['request refer art', 'switzerland recognise jurisdiction', 'application refer art']"
The object of the request and of the application was to obtain a decision as to whether the facts of the case disclosed a breach by the respondent State of its obligations under Article 8 (art. 8) of the Convention.,non-argumentative,"[' to obtain decision', 'fact disclose breach']"
"In response to the enquiry made in accordance with Rule 33 para. 3 (d) of Rules of Court A, the applicant stated that he wished to take part in the proceedings and designated the lawyers who would represent him (Rule 30).",non-argumentative,"[' make accordance', 'applicant state ', 'he wish ', ' to take part', ' to take proceeding', 'applicant designate lawyer', 'applicant designate rule', 'who would represent he']"
"The Turkish Government, having been informed by the Registrar of their right to intervene in the proceedings (Article 48 (b) of the Convention and Rule 33 para. 3 (b)) (art. 48-b), did not indicate any intention of so doing.",non-argumentative,"[' having be inform registrar', ' having be inform right', ' having be inform article', ' to intervene proceeding', 'number do indicate intention']"
"The Chamber to be constituted included ex officio Mr L. Wildhaber, the elected judge of Swiss nationality (Article 43 of the Convention) (art. 43), and Mr R. Bernhardt, the Vice-President of the Court (Rule 21 para. 4).",non-argumentative,['chamber include wildhaber']
"On 8 June 1995, in the presence of the Registrar, the President of the Court drew by lot the names of the other seven members, namely Mr F. Matscher, Mr C. Russo, Mr N. Valticos, Mr S.K. Martens, Mrs E. Palm, Mr M.A. Lopes Rocha and Mr K. Jungwiert (Article 43 in fine of the Convention and Rule 21 para. 5) (art. 43).",non-argumentative,"['president draw name', 'president draw lot']"
"As President of the Chamber (Rule 21 para. 6), Mr Bernhardt, acting through the Registrar, consulted the Agent of the Government, the applicant’s lawyers and the Delegate of the Commission on the organisation of the proceedings (Rules 37 para. 1 and 38).",non-argumentative,"[' act registrar', 'bernhardt sulte agent', 'bernhardt sulte para']"
"Pursuant to the order made in consequence, the Registrar received the memorials of the applicant and the Government on 3 and 11 August 1995 respectively.",non-argumentative,"[' make sequence', 'registrar receive memorial', 'registrar receive august']"
On 4 September 1995 the Secretary to the Commission informed the Registrar that the Delegate would submit his observations at the hearing.,non-argumentative,"['secretary inform registrar', 'delegate would submit observation', 'delegate would submit hearing']"
"On 25 August 1995 the Commission produced the file on the proceedings before it, as requested by the Registrar on the President’s instructions.",non-argumentative,"['commission produce file', ' request registrar', ' request instruction']"
