text,label,events
"As has been noted in several previous judgments by the Court, the campaign of terrorism waged in Northern Ireland over the last quarter of a century has taken a terrible toll, especially in terms of human life and suffering (see paragraph 35 above).",premise,"[' e judgment', ' wage number', ' wage ireland', ' wage quarter', 'campaign have take toll', ' see paragraph']"
The Court sees no reason to depart from the general approach it has adopted in previous cases of a similar nature.,premise,"['court see reason', ' to depart approach', 'it have adopt case']"
"(see, inter alia, the Fox, Campbell and Hartley v. the United Kingdom judgment of 30 August 1990, Series A no. 182, p. 15, para. 28, citing the Brogan and Others v. the United Kingdom judgment of 29 November 1988, Series A no. 145-B, p. 27, para. 48).",premise,"[' see judgment', ' cite brogan']"
"Accordingly, for the purposes of interpreting and applying the relevant provisions of the Convention, due account will be taken of the special nature of terrorist crime, the threat it poses to democratic society and the exigencies of dealing with it",conclusion,"[' apply provision', 'account will be take ', 'it pose society', ' deal it']"
"They also pointed to a number of other facts capable of supporting, albeit indirectly, the reasonableness of the suspicion, including notably the findings made by the domestic courts in the proceedings brought by Mrs Murray, the very recent conviction of her brothers in the USA of offences connected with the purchase of weapons for the Provisional IRA, her own visits to the USA and her contacts with her brothers there (see especially paragraphs 10, 19, 24, 25, 28 and 29 above).",premise,"['they point number', ' support reasonableness', ' support finding', ' include finding', ' make rts', ' make proceeding', ' make offence', ' bring murray', ' necte purchase', 'visit see paragraph']"
They submitted that all these matters taken together provided sufficient facts and information to satisfy an objective observer that there was a reasonable suspicion in the circumstances of the case.,conclusion,"['they submit ', 'matter provide fact', ' to satisfy observer', 'there be suspicion', 'there be circumstance']"
"Any other conclusion by the Court would, they feared, prohibit arresting authorities from effecting an arrest of a person suspected of being a terrorist based primarily on reliable but secret information and would inhibit the arresting authorities in taking effective measures to counter organised terrorism.",premise,"['they fear ', 'clusion would prohibit authority', ' effect arrest', ' base information', 'clusion would inhibit authority', ' take measure', ' take nter']"
They submitted that all these matters taken together provided sufficient facts and information to satisfy an objective observer that there was a reasonable suspicion in the circumstances of the cas,conclusion,"['they submit ', 'matter provide fact', ' to satisfy observer', 'there be suspicion']"
"As in the case of Fox, Campbell and Hartley, the Government’s explanation did not meet the minimum standards set by Article 5 para. 1 (c) (art. 5-1-c) for judging the reasonableness of her arrest and detention.",premise,"['explanation do meet standard', ' set para', ' judge reasonableness']"
She did not accept that the reason advanced for non-disclosure was a genuine or valid one.,premise,['she do accept ']
She in her turn pointed to circumstances said to cast doubt on the reasonableness of the suspicion.,premise,"['she point circumstance', ' to cast doubt', ' to cast reasonableness']"
"In reply to the Government the first applicant contended that the issue which the domestic courts inquired into was not the objective reasonableness of any suspicion but the subjective state of mind of the arresting officer, Corporal D. 54. For the Commission, the Government’s explanation in the present case was not materially distinguishable from that provided in the case of Fox, Campbell and Hartley.",premise,"['company tend ', ' provide case']"
It took the view that no objective evidence to corroborate the unrevealed information had been adduced in support of the suspicion that the first applicant had been involved in collecting money for Provisional IRA arms purchases other than her kinship with her convicted brothers.,premise,"['it take view', ' to roborate information', 'evidence have be adduce support', 'applicant have be involve money']"
"The first applicant, on the other hand, considered that the Government had failed to discharge the onus of disclosing sufficient facts to enable the Convention institutions to conclude that the suspicion grounding her arrest was reasonable or anything more than the ""honest"" suspicion required under Northern Ireland law.",conclusion,"['applicant sidere ', 'company sidere ', 'government have fail ', ' to discharge onus', ' disclose fact', ' to enable institution', ' ground arrest', ' require law']"
"With regard to the level of ""suspicion"", the Court would note firstly that, as was observed in its judgment in the case of Brogan and Others, ""sub-paragraph (c) of Article 5 para. 1 (art. 5-1-c) does not presuppose that the [investigating authorities] should have obtained sufficient evidence to bring charges, either at the point of arrest or while [the arrested person is] in custody.",premise,"['court would number e', ' be observe judgment', '5 presuppose ', 'c presuppose ', 'number presuppose ', 'authority should have obtain evidence', ' to bring charge', ' to bring point']"
"Such evidence may have been unobtainable or, in view of the nature of the suspected offences, impossible to produce in court without endangering the lives of others"" (loc. cit., p. 29, para. 53).",premise,"[' to produce rt', ' endanger life']"
The object of questioning during detention under sub-paragraph (c) of Article 5 para. 1 (art. 5-1-c) is to further the criminal investigation by way of confirming or dispelling the concrete suspicion grounding the arrest.,premise,"[' to further investigation', ' to further way', 'company firm ', 'company dispel suspicion', ' ground arrest']"
"Thus, facts which raise a suspicion need not be of the same level as those necessary to justify a conviction or even the bringing of a charge, which comes at the next stage of the process of criminal investigation.",conclusion,"['which raise suspicion', ' to justify viction', 'company e stage']"
"Thus, facts which raise a suspicion need not be of the same level as those necessary to justify a conviction or even the bringing of a charge, which comes at the next stage of the process of criminal investigation.",premise,"['which raise suspicion', ' to justify viction', 'company e stage']"
The length of the deprivation of liberty at risk may also be material to the level of suspicion required.,premise,[]
"The period of detention permitted under the provision by virtue of which Mrs Murray was arrested, namely section 14 of the 1978 Act, was limited to a maximum of four hours.",conclusion,"[' permit provision', 'murray be arrest ', 'period be limit maximum']"
"With particular regard to the ""reasonableness"" of the suspicion, the principles stated in the Fox, Campbell and Hartley judgment are to be applied in the present case, although as pointed out in that judgment, the existence or not of a reasonable suspicion in a concrete instance depends ultimately on the particular facts.",premise,"[' state judgment', ' to be apply case', ' point judgment', 'existence depend fact']"
The Court would firstly reiterate its recognition that the use of confidential information is essential in combating terrorist violence and the threat that organised terrorism poses to the lives of citizens and to democratic society as a whole,conclusion,"['court would reiterate recognition', 'terrorism pose life']"
"With particular regard to the ""reasonableness"" of the suspicion, the principles stated in the Fox, Campbell and Hartley judgment are to be applied in the present case, although as pointed out in that judgment, the existence or not of a reasonable suspicion in a concrete instance depends ultimately on the particular facts.",premise,"[' state judgment', ' to be apply case', ' point judgment', 'existence depend fact']"
The Court would firstly reiterate its recognition that the use of confidential information is essential in combating terrorist violence and the threat that organised terrorism poses to the lives of citizens and to democratic society as a whole,premise,"['court would reiterate recognition', 'terrorism pose life']"
