text,label,events
"The Commission has taken cognizance of the submissions of the parties. It considers that the applicant's complaint raises serious issues of fact and law under the Convention, the determination of which should depend on an examination of the merits.",premise,"['commission have take nizance', 'it sider ', 'plaint raise issue', 'plaint raise convention', 'determination should depend examination']"
It follows that this part of the application cannot be dismissed as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,conclusion,"['it follow ', 'part can be not dismiss ', ' found meaning']"
"As regards the applicant's complaints concerning conjugal rights, the Commission finds no indication that on the facts of the present case the applicant enjoyed any ""civil right"" with respect to the enjoyment of conjugal rights in the absence of the consent of his wife.",premise,"[' regard company', ' cerne right', 'commission find indication', 'applicant enjoy right', 'applicant enjoy absence', ' send wife']"
"This aspect of the case must therefore be rejected as being incompatible ratione materiae with the provisions of the Convention, pursuant to Article 27 para. 2 (Art. 27-2) of the Convention.",conclusion,['aspect must be reject ']
"As regards the applicant's complaints concerning the decisions of the courts in the criminal proceedings, the Commission recalls that, in accordance with Article 19 (Art. 19) of the Convention, its only task is to ensure the observance of the obligations undertaken by the Parties in the Convention.",premise,"['company cerne decision', 'company cerne proceeding', 'commission recall ', ' to ensure observance', ' undertake parties']"
It follows that this part of the case is manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,conclusion,"['it follow ', 'part be found meaning']"
"In particular, it is not competent to deal with an application alleging that errors of law or fact have been committed by domestic courts, except where it considers that such errors might have involved a possible violation of any of the rights and freedoms set out in the Convention.",premise,"[' to deal application', 'error have be mitte rts', 'it sider ', 'error might have involve violation', ' set convention']"
"The Commission refers, on this point, to its constant case-law (see eg. No. 458/59, X v. Belgium, Dec. 29.3.60, Yearbook 3 pp.222, 236; No. 5258/71, X v. Sweden, Dec. 8.2.73, Collection 43 pp.71, 77; No. 7987/77, X v. Austria, Dec. 13.12.79, D.R. 18 pp. 31, 45).",premise,"['commission refer point', 'commission refer law']"
It follows that this part of the case is manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,conclusion,"['it follow ', 'part be found meaning']"
He relies on Article 6 para. 1 (Art. 6-1) of the Convention.,premise,['he rely para']
"He claims that he was at no time afforded a proper determination of his civil rights and obligations with particular reference to the conjugal rights of both parties to a marriage and, moreover, that he was denied a fair trial of the charge against him by reason of the failure of the courts to observe, and give proper effect to, the statutory definition of rape (as `unlawful sexual intercourse') in section 1 (1) of the Sexual Offences (Amendment) Act 1976.""",premise,"['he claim ', 'he be afford determination', 'he be deny trial', 'he be deny reason', ' give effect', ' give definition', ' give section']"
The applicant also complains that he did not receive a fair hearing in respect of the determination of his conjugal rights.,conclusion,"['applicant plain ', 'he do receive hearing', 'he do receive respect']"
The general rule that a husband could not commit the offence of rape against his wife was universally accepted until 1990.,premise,"['company mit offence', 'rule be accept 1990']"
"While exceptions to this principle had developed, these were strictly limited to circumstances where, for example, there had been a court order or formal separation agreement.",premise,"['exception have develop ', 'these be limit circumstance']"
The courts went beyond reasonable interpretation of the existing law and extended the definition of the offence in such a way as to include facts which hitherto had not constituted a criminal offence.,conclusion,"['rt go interpretation', 'rt extend definition', 'rt extend way', ' to include fact', 'which have stitute offence', 'company have stitute offence']"
The facts of this case do not disclose any mutual agreement between the applicant and his wife.,premise,['fact do disclose agreement']
There was no authority for the proposition that a wife could unilaterally withdraw her consent.,premise,"['there be authority', ' withdraw send', 'company send ']"
The courts went beyond reasonable interpretation of the existing law and extended the definition of the offence in such a way as to include facts which hitherto had not constituted a criminal offence.,conclusion,"['rt go interpretation', 'rt extend definition', 'rt extend way', ' to include fact', 'which have stitute offence', 'company have stitute offence']"
"Furthermore, in the applicant's case, the Court of Appeal and the House of Lords acknowledged that they were changing the law, not merely clarifying it.",premise,"['court acknowledge ', 'they be change law', ' clarify it']"
The courts went beyond reasonable interpretation of the existing law and extended the definition of the offence in such a way as to include facts which hitherto had not constituted a criminal offence.,conclusion,"['rt go interpretation', 'rt extend definition', 'rt extend way', ' to include fact', 'which have stitute offence', 'company have stitute offence']"
